accessContext,technicalComplexity,has_accepted_answer,date_created,technicalDomain,rootCauseCategory,summary,title,causedByOutdatedStack,isDocumentationGap,topic_id
python_client,3,False,2025-01-14 12:42:32.993000+00:00,ingestion,conceptual_misunderstanding,"User asked how to remove a reference property from a Weaviate collection using the Python client without recreating the collection, and the answer was that some parameters are mutable but not all, requiring an export, creation of a new collection, and importation of the data for modifications like adding cross-references.",Emmanuel Katto : How to Remove a Reference Property from Weaviate Collection Using Python Client?,False,False,9743
rest_api,3,False,2024-12-05 05:01:02.080000+00:00,deployment,incorrect_configuration,"The problem was resolved by ensuring the Google Application Credentials JSON file was available in the Weaviate container, which was achieved by mounting the local JSON file as a volume and updating the GOOGLE_APPLICATION_CREDENTIALS environment variable to point to its location within the container.",Docker compose with backup-gcs not fetching credentials file,False,False,9104
rest_api,3,False,2024-10-18 08:03:39.459000+00:00,queries,conceptual_misunderstanding,"The user asked if Can weaviate expose the underlying BM25 tokenizer to handle CJK texts properly, and the answer was that there are special tokenizers available for Chinese, Japanese, and Korean.","BM25 CJK (Chinese, Japanese, Korean) Support",False,False,5762
other,4,False,2024-10-24 14:07:55.595000+00:00,deployment,incorrect_configuration,"User experiences losing data when updating a Weaviate service deployed on a webserver due to Docker creating a new volume each time an updated image is uploaded, while it maintains the same volume locally on their PC.",Docker on webserver - maintain same volume when using new image,False,False,5865
python_client,5,False,2024-11-05 19:35:56.216000+00:00,server_setup,bug_or_limit,"Weaviate embedding API endpoint URL is incorrectly set to /api/embeddings instead of /api/embed, which causes a failure in Ollama embedings calls.",Ollama Embeddings call fails with wrong URL path: /api/embeddings,True,False,7462
rest_api,4,True,2024-08-07 15:38:13.587000+00:00,queries,bug_or_limit,"The issue described is a known bug that caused objects to be invisible in GraphQL queries but visible in REST API calls, however it was not reproducible after re-indexing.",An object is somehow only visible in the REST API but not via GraphQL,False,False,3291
python_client,3,True,2025-01-23 08:58:06.275000+00:00,integration,conceptual_misunderstanding,"The user asked about using the Python client for Weaviate version 4, accessing the database through a command-line interface, creating backups, and managing user access levels. Mohamed provided guidance on using the Weaviate-CLI, Weaviate's Cloud UI, and the Python client for backups, and recommended documentation for authorization and access level management.",Play around Python client for Weaviate version 4,False,False,9862
rest_api,5,False,2024-10-21 10:11:38.491000+00:00,ingestion,bug_or_limit,User wants to update the model from gpt-4o to gpt-4o-mini and needs to reindex data due to difference in vector generation.,"I would like to update the model from gpt-4o to gpt-4o-mini, any tip?",True,False,5814
python_client,5,False,2025-02-12 19:05:14.410000+00:00,queries,conceptual_misunderstanding,"The issue with max-vector-distance not filtering results as expected in Weaviate 1.26.1 has been resolved in one of the early 1.26.X releases, likely in the latest 1.26 point release.",Hybrid Search: max-vector-distance not filtering results as expected,True,False,10288
python_client,5,False,2024-05-27 18:15:16.686000+00:00,queries,bug_or_limit,"The user experienced significant slowdowns (100x) in Weaviate queries due to a local reranker-transformers model, later attributed to a potential memory leak issue with the CrossEncoder class using a thread pool, suggested to be related to an upstream sentence-transformers bug.",Using a local reranker-transformers reduces performance by 100x,False,False,2502
rest_api,4,False,2024-08-30 23:50:13.530000+00:00,deployment,performance,"The user is experiencing issues with Weaviate shards and ingestion, resulting in connection refusals and raft failures, but resource utilization is within normal limits. The resolution includes checking resource readings on nodes experiencing connectivity issues and exploring Weaviate's built-in Prometheus-compatible metrics for monitoring, such as weaviate_io_replication_factor and weaviate_io_replication_factor_unhealthy_shards.",Issue with weaviate shards and ingestion,False,False,3937
other,4,False,2024-09-06 10:13:23.376000+00:00,queries,performance,"A user asked for advice on optimizing vector search in Weaviate for a recommendation algorithm project, and received tips on index configuration, vector dimensions, and hybrid search setup.",Advice Needed on Optimizing Vector Search in Weaviate,False,False,3990
python_client,5,False,2024-07-29 01:09:57.218000+00:00,integration,conceptual_misunderstanding,Named vectors must be explicitly configured in the Weaviate collection before they can be used in queries.,Own embedding value not vector search,False,False,3201
python_client,5,True,2023-09-06 08:24:46.352000+00:00,server_setup,bug_or_limit,"User has an issue where Weaviate server closes connection unexpectedly while checking class existence, suspected to be due to various reasons like network/route issue, WCS/Saas issue, or Weaviate product issue. Locally reproducing the issue confirms the problem is likely caused by data corruption, which is resolved by switching to a different data store.",Weaviate server closes connection unexpectedly,False,False,626
rest_api,3,False,2024-10-28 20:44:21.597000+00:00,queries,bug_or_limit,"The user is experiencing issues with combining BM25 search with a geo filter in Weaviate, resulting in limited or zero results. This issue might be related to a known limitation in Weaviate's current implementation of geo-coordinate filtering, which uses a fixed-size vector search list.",Searching with bm25 does not return all results with GeoCoordinate filter,True,False,7112
python_client,4,True,2024-05-24 18:11:13.840000+00:00,ingestion,conceptual_misunderstanding,"The user was experiencing an issue with aggregating data using Weaviate, specifically trying to calculate wordCount, when they didn't have such a property in their collection. Duda Nogueira provided a solution by showing how to create a collection with an integer property and then perform aggregation on that property.","""Cannot query field \""wordCount\"" on type \""Aggregate",False,False,2466
rest_api,3,True,2025-01-15 15:10:44.069000+00:00,others,bug_or_limit,"The user requested a user creation API for the RBAC functionality in Weaviate, and was advised to submit a feature request on GitHub.",User Creation in RBAC,False,False,9790
python_client,4,False,2024-11-16 11:40:26.147000+00:00,server_setup,incorrect_configuration,"To enable GSE tokenization in Weaviate, you need to set the environment variable ENABLE_TOKENIZER_GSE to true in your server. After enabling GSE, you can customize it by setting options such as loading custom dictionaries using the LoadDict function.",How can I config the gse tokenization,False,False,7600
llm_framework,4,True,2024-06-28 09:53:28.124000+00:00,queries,conceptual_misunderstanding,The LangChain WeaviateVectorStore requires instantiation with a tenant context when using multi-tenancy in Weaviate.,How to access/search data ingested through Weaviate client in langchain / langchain-weaviate?,False,False,2850
python_client,4,False,2024-07-22 07:40:07.282000+00:00,integrated,bug_or_limit,"The user was experiencing errors with Weaviate, specifically a query timeout, after updating their Docker configuration to expose the correct GRPC port. Resolving the issue involved adjusting the Ollama URL to point to `host.docker.internal:` and removing the unnecessary port mapping for the HTTP endpoint.","weaviate.exceptions.WeaviateQueryError: Query call with protocol GRPC search failed with message send POST request: Post ""serverurl:11435/api/generate"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)",False,False,3118
python_client,5,False,2024-10-14 10:44:16.485000+00:00,server_setup,bug_or_limit,"User experienced issues connecting to Weaviate serverless cloud cluster with 503 error, likely caused by uploading a large number of vectors; a support ticket should be logged via support@weaviate.io for assistance.",Cannot connect to the serverless,False,False,5243
python_client,5,False,2025-01-30 09:43:33.667000+00:00,integration,bug_or_limit,"The issue arises due to the outdated Weaviate integration in the code, specifically the EmbeddingConfig provider which should be set to 'openai' instead of 'azure'.",Openai API key fails when i connect with weaviate but works with normal chat completion api,True,False,9964
python_client,4,False,2024-10-01 11:58:00.354000+00:00,queries,performance,"The user is experiencing a 'Deadline Exceeded' error while querying a WeaviateDB instance using multiple concurrent instances, which may be due to insufficient server resources. To resolve the issue, the user needs to contact Weaviate support for assistance.","Keep getting ""Query call with protocol GRPC search failed with message Deadline Exceeded""",False,False,4383
rest_api,5,False,2024-11-27 08:52:40.600000+00:00,queries,data_modeling,"To perform a hybrid search including breed, color, and description from the Dog class and cross-referenced encodedImage property from the Image class, consider creating a separate named-vector for each type of data, then combine the results manually.",[Docs] Image+text hybrid search on cross references,False,False,8545
other,3,False,2024-09-18 17:24:04.064000+00:00,deployment,conceptual_misunderstanding,"To create a collection in Weaviate, you should pass the pre-vectorized 'content' field along with its corresponding vector when creating the collection, specifying which properties should be part of the vectorization process, either through the 'vectorizer_config' or at the individual 'property' level.",Creating RAG using own data vectorized in Azure,False,False,4193
other,3,False,2024-10-08 21:29:35.274000+00:00,integration,incorrect_configuration,"The user asked how to specify an OPENAI API key as an environment secret, and the response was to define it as an environment variable named OPENAI_APIKEY.",Specify OPENAI API KEY as envsecret,False,False,4473
rest_api,4,False,2024-10-02 05:23:11.590000+00:00,network,incorrect_configuration,"The issue was caused by not exposing the Weaviate server correctly, which resulted in a failed connection attempt from the local Python application. Resolving the issue involved correctly forwarding the REST and GRPC ports and using these ports to initialize the Weaviate client.",Local Python app connecting to Weaviate client 4.0 within Kubernetes,False,False,4392
python_client,4,False,2025-01-14 21:55:28.357000+00:00,ingestion,performance,"User Hao_Zhang reported a timeout issue when inserting video data into Weaviate using Multi2Vec-Bind Vectorizer, which is resolved by updating Weaviate to version 1.28.2, increasing timeout settings, and utilizing batching.",Timeout Issue When Inserting Video Data into Weaviate with Multi2Vec-Bind Vectorizer,True,False,9757
python_client,4,False,2024-12-07 18:23:27.470000+00:00,server_setup,bug_or_limit,"User Arun Uma experienced an unexpected error 503 while connecting to a Weaviate instance running on a GCP Kubernetes cluster, which was resolved by checking the server and client versions and closing the connection properly.","'Meta endpoint! Unexpected status code: 503, with response body: None.'",False,False,9138
other,4,False,2025-01-08 06:21:48.331000+00:00,queries,incorrect_configuration,"User Sachi Patankar has set up Weaviate on Kubernetes but is unable to send gRPC requests. Duda Nogueira provides guidance on exposing the Weaviate cluster via forwarding a port or using a reverse proxy like Traefik, which helped resolve the issue.","I Have set up weaviate on K8s, but im not able to send any grpc requests from grpc endpt",False,False,9619
other,3,True,2024-11-05 14:38:20.838000+00:00,integration,bug_or_limit,"A user pointed out an error in the distance metric ranges in Weaviate documentation, which was corrected by the development team.",[Docs] Distance metrics incorrect range,False,True,7456
rest_api,3,True,2024-05-06 21:15:52.638000+00:00,queries,conceptual_misunderstanding,"Weaviate performs a two-phase process when using HybridFusion.RELATIVE_SCORE and Rerank; first, it searches with a higher limit, then trims the results down to the specified limit before reranking.",Rerank with HybridFusion.RELATIVE_SCORE - How many are ranked?,False,False,2212
python_client,5,False,2025-02-20 07:11:24.059000+00:00,server_setup,bug_or_limit,"Weaviate is experiencing a space leak issue where disk space is not being freed after object deletion, and the root cause is related to the persistence LSM segments cleanup interval configuration.",Volume and objects size going up instead of down after removing >50% of objects,True,False,10473
python_client,4,False,2024-03-06 10:37:39.564000+00:00,errors,bug_or_limit,"The user encountered an error when using the 'or' operator to combine multiple filters in Weaviate, but the issue was resolved by speculating that the filter might be too large.",Error when use or operator to combine more than certain number of filters,False,False,1636
rest_api,5,True,2024-08-06 17:20:15.188000+00:00,queries,conceptual_misunderstanding,"The BM25F score calculation takes into account various factors including term frequency, inverse document frequency, field length normalization, and field weights, resulting in a complex scoring mechanism where the order and distribution of terms across different fields play a crucial role in determining relevance.",Unable to fully comprehend the computed score,False,False,3281
rest_api,4,False,2024-11-01 16:13:47.923000+00:00,queries,performance,"User is experiencing slow processing time with 4 million queries across a single cluster with different metadata filters, despite using ThreadPoolExecutor; the suggested solution is to explore the async API.",Best way to multiprocess,False,False,7377
rest_api,4,False,2024-11-23 16:02:34.593000+00:00,deployment,incorrect_configuration,"The user is experiencing issues joining a Weaviate cluster due to failed bootstrap attempts, which were resolved by upgrading the Weaviate server to version 1.26.11.","{""action"":""bootstrap"",""error"":""could not join a cluster from [172.27.0.4:8300]"",""level"":""warning"",""msg"":""failed to join cluster, will notify next if voter"",""servers"":[""172.27.0.4:8300""],""time"":""2024-11-23T14:54:05Z"",""voter"":true} {""action"":""bootstrap"",""le",False,False,7813
python,3,True,2024-07-02 09:47:05.928000+00:00,integration,conceptual_misunderstanding,A user asked about merging multiple indexes into a new one using Weaviate V4 API. The issue was resolved by providing 'bring your own vectors' instead of letting Weaviate re-vectorize the data.,[Question] Merging multiple index's into a new one,False,False,2900
other,3,True,2025-01-13 04:18:32.525000+00:00,integration,conceptual_misunderstanding,"User RamuA asked how to use the Weaviate client on an EC2 machine, specifically if there was an option to use GraphiQL. Mohamed Shahin responded that Weaviate does not have OS native client libraries, but rather language-specific ones such as Python and Go.",Client tool for Weaviate DB,False,False,9695
ts_client,3,False,2024-06-21 11:47:06.211000+00:00,integration,bug_or_limit,"User Steve was experiencing issues with Weaviate's generative search feature due to exceeding the maximum token limit imposed by OpenAI. To resolve this, Duda suggested intercepting the OpenAI calls by providing a custom X-OpenAI-BaseURL header to bypass vectorization. However, Steve realized he needed to use nearVector() instead of nearText() for generative search, but still encountered issues despite correct implementation.",WeaviateQueryError max_tokens is too large with generative search and gpt-4-1106-preview,True,True,2764
rest_api,3,False,2024-08-05 10:40:37.134000+00:00,ingestion,conceptual_misunderstanding,"User ROHAN_BALKONDEKAR needs help exporting vector embeddings and their associated metadata from Weaviate instance to TSV files compatible with TensorFlow Projector, and receives guidance on how to do so using Weaviate's iterator feature.",How to Export Vectors and Metadata to TSV for TensorFlow Projector,False,False,3265
python_client,3,True,2024-02-21 18:04:01.467000+00:00,server_setup,performance,"The user was experiencing ""Deadline Exceeded"" issues while performing queries on Weaviate due to a low initial timeout setting. They resolved the issue by increasing the timeout period.",Query call with protocol GRPC batch failed with message Deadline Exceeded,False,False,1539
rest_api,4,False,2024-10-24 06:16:41.770000+00:00,server_setup,conceptual_misunderstanding,"The user's parquet file had a larger raw size than expected after being inserted into Weaviate due to potential padding and storage in 64-bit float arrays instead of 32-bit floats, but DudaNogueira suggested these possibilities as explanations.",How is Storage footprint reduced after inserting vectors in to Weaviate,False,False,5860
rest_api,5,True,2024-05-30 07:32:04.196000+00:00,ingestion,incorrect_configuration,The issue of missing 'class_name' in Prometheus metrics for Weaviate server has been resolved by setting PROMETHEUS_MONITORING_GROUP to True in the values.yaml file.,Prometheus metrics showing n/a for class name,False,True,2547
python_client,4,True,2024-11-22 09:33:49.024000+00:00,queries,bug_or_limit,"Filtering on nested properties within object data type is currently not supported due to Weaviate limitations. An alternative approach is suggested, which involves bringing the desired property outside of the object data type.",How filter array objects,True,False,7772
rest_api,5,False,2024-08-14 20:01:34.089000+00:00,deployment,incorrect_configuration,"The multi-node Weaviate deployment using docker-compose across two servers was not functioning properly due to incorrect configuration of RAFT Join settings. A potential solution involves ensuring consistent naming and resolving hostnames correctly, possibly using Kubernetes or Docker Swarm for a more robust management setup.",Multi node docker-compose deployment on multiple machines,False,True,3352
rest_api,3,False,2024-09-16 11:10:52.245000+00:00,queries,conceptual_misunderstanding,"User had trouble passing 'query' parameter in hybrid search due to inability to generate sparse vector within DB. Resolution: Since Weaviate doesn't vectorize queries when providing vector parameter, use query parameter exclusively for keyword search unless vector is provided.",Hybrid search with embedding outside the database,False,False,4171
python_client,3,True,2024-06-01 21:49:43.839000+00:00,ingestion,bug_or_limit,"A bug in Weaviate server version 1.25.2 caused by having a collection name that matches a GraphQL primitive type name, resulting in a GraphQL schema error. This issue has been resolved by a pull request (#5370) which fixes the error.",Weaviate V4 Python client not able to aggregate newly created collections,False,True,2586
python_client,4,True,2024-10-22 15:32:58.357000+00:00,integration,conceptual_misunderstanding,"The user questioned the difference between using multiple named vectors in config and concatenating 'title' and 'kicker' fields. DudaNogueira suggested using NamedVectors, which allows for easier configuration and specifying properties within the named vector definition.",Help wrapping my head on two named vectors configs,False,False,5844
rest_api,5,True,2024-08-10 04:59:46.934000+00:00,queries,bug_or_limit,The issue of 'fetch failed' error on the local embedded version of Weaviate was resolved by updating the code to correctly handle the GraphQL request.,[Question] Fetch failed for embedded weaviate javascript,False,False,3325
rest_api,5,False,2024-08-12 05:11:20.589000+00:00,server_setup,performance,"Increasing PERSISTENCE_HNSW_MAX_LOG_SIZE value significantly reduced WAL's folder growth rate, however, disk space issues persists; manual logging clearing through a safe backup process may be required to prevent READONLY mode and long POD startup times.",WAL's folder grows unlimittely,False,False,3332
python_client,4,False,2024-12-20 13:23:07.814000+00:00,queries,bug_or_limit,"The user is experiencing issues with hybrid queries due to mismatched vector dimensions, and it was confirmed that near_text queries work while hybrid ones fail. ",Distance between entrypoint and query node,False,False,9360
Using the offcial Weaviate Python client library,4,False,2024-07-09 19:21:07.681000+00:00,ingestion,bug_or_limit,"The user experienced issues with retrieving objects after a batch import due to an inconsistent state caused by a failed LSM segment flush and switch, which required a server restart to resolve. The root cause remains unclear, but suggestions include checking hardware limits and considering upgrading to a multi-node cluster or reindexing to rule out indexing errors.",Some objects not readable after batch import / flush and switch failed,False,False,2991
"Using the llm_framework, such as Llama",4,False,2024-12-03 02:12:33.069000+00:00,server_setup,bug_or_limit,The user is experiencing intermittent connection issues with Weaviate while running Verba locally. DudaNogueira suggests killing the existing Weaviate process using 'ps aux | grep weaviate' before starting Verba.,"[Verba] On sending message: ""Couldn't connect to Weaviate, check your URL/API KEY""",False,False,9062
rest_api,3,True,2024-05-07 21:46:06.025000+00:00,server_setup,performance,"The recommended number of shards is 128 for virtualPerPhysical shards. Replication and a multi-node deployment improve query throughput. Dynamic Ef Max is mutable, while Ef Construction is not. Tenant TTL is a future feature.",Increase number of shards and update HNSW vector index parameters,False,False,2231
rest_api,4,False,2024-10-27 05:58:56.296000+00:00,queries,conceptual_misunderstanding,The user wants to add a data field to metadata and retrieve Weaviate documents in ascending date order for a RAG system; the solution involves adding a new field to the metadata and using Weaviate's query API with the Sort class to achieve this.,Sort by date,False,False,6562
python_client,3,False,2024-12-16 08:32:32.525000+00:00,ingestion,performance,"User is experiencing Weaviate errors due to large batches, and the resolution involves adjusting the GRPC_MAX_MESSAGE_SIZE or reducing the batch size.",Error: 'WeaviateBatchError('Query call with protocol GRPC batch failed with message <>),False,False,9248
rest_api,3,True,2024-10-06 11:48:53.407000+00:00,named_vectors,conceptual_misunderstanding,"The users wants to create separate embeddings for multiple fields in Weaviate, which can be achieved by defining named vectors in the vectorizer configuration. The resolution involves updating the collection creation query to include multiple named vector configurations, each specifying the source properties to be embedded.",How to create vector embedding for multiple fields,False,False,4447
python_client,5,False,2024-12-25 11:42:57.057000+00:00,queries,bug_or_limit,"The user noticed a discrepancy in cosine similarity scores between Weaviate and ScikitLearn when using SentenceTransformer for vectorization. After investigating, they found that Weaviate's results were incorrect, while ScikitLearn's results matched the expected output.",Cosine similarity differs between ScikitLearn and Weaviate for SentenceTransformer vectors,True,False,9429
python_client,4,True,2025-02-17 20:56:29.462000+00:00,queries,conceptual_misunderstanding,"To filter near_text search results based on an empty or non-empty 'movie_tags' array, you need to create a new collection with 'inverted_index_config' specified, enabling 'index_null_state' and 'index_property_length' to true. You cannot modify these configurations in an existing collection.",Filter near_text search based on empty/non-empty text array,False,False,10421
rest_api,4,False,2024-07-01 13:38:53.910000+00:00,deployment,bug_or_limit,"The user's Weaviate pod fails to startup due to a ""could not open cloud meta store"" error, potentially related to the introduction of the RAFT algorithm in 1.25.x, and upgrading to a newer version does not resolve the issue. A GitHub issue has been opened to further investigate.",Fatal error during Weaviate 1.25 startup: could not open cloud meta store,True,False,2888
